rank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id
72	C20H24O2	[M + H]+	C20H24O2	0.9999999999999999	118.08479628543137	118.08479628543137	0.0	37	0.9137445996182056	0.8739768161939232	3.256962615960752	-60601.250124863676		297.18565	761.3860130310059	608_mz3_iin_sirius_678
73	C30H44O3	[M + H]+	C30H44O3	0.9999999999999999	117.43496283308325	117.43496283308325	0.0	43	0.9026129646036979	1.3685998874382674	3.6265073336814853	-39727.724818901945		453.33684	1008.6259460449219	962_mz3_iin_sirius_1136
74	C25H38O6	[M + Na]+	C25H38O6	0.9999999999999999	117.41246049611352	113.14773374503116	4.264726751082371	29	0.6210743092500428	3.9335538999638233	5.43440130590071	2.0305421007522493		457.25699	1109.2119598388672	1124_mz3_iin_sirius_1337
75	C26H56N3O6	[M + Na]+	C26H56N3O6	0.9999999999999999	117.26610109062122	111.63735455095302	5.628746539668195	30	0.7053425518541798	0.16395271844810771	3.7333307356688623	3.558416041330563		529.40802	1261.5981938363984	1440_mz3_iin_sirius_1883
76	C20H26O2	[M + H]+	C20H26O2	0.9999999999999999	116.89571449552976	116.89571449552976	0.0	36	0.8866181961092554	1.9585116481782663	4.111754839151611	-60193.40855780114		299.20118	763.9116664230824	596_mz3_iin_sirius_664
77	C15H10O7	[M + H]+	C15H10O7	0.9999999999999999	116.88143527246535	116.88143527246535	0.0	39	0.8961989271357387	3.863664938010049	4.2122235465758235	3.7079072992099955		303.05105	255.63963663872215	194_mz3_iin_sirius_220
78	C19H28O3	[M + H]+	C19H28O3	0.9999999999999999	116.82761247512126	113.88255648799115	2.945055987130106	32	0.7080273160675169	-0.6137497999934425	3.9803595102823772	-59007.94755349463		305.21177	856.1560249328613	738_mz3_iin_sirius_881
79	C15H10O7	[M + H]+	C15H10O7	0.9999999999999999	116.64476458337212	116.64476458337212	0.0	38	0.8844301591939651	3.235265382922555	3.91080808015127	2.5118775760411958		303.05069	257.5637510418892	167_mz3_iin_sirius_190
80	C30H42O2	[M + H]+	C30H42O2	0.9999999999999999	116.55906160317369	116.55906160317369	0.0	37	0.834030234802187	-1.4980037285206755	3.7449859865169834	-82743.73222297397		435.32636	1173.1039810180664	1237_mz3_iin_sirius_1466
81	C18H26	[M + H]+	C18H26	0.9999999999999999	116.5583685614314	116.5583685614314	0.0	24	0.7080322401334076	-1.0675331001934947	6.909400251002447	-74051.60397736612		243.21112	655.2730178833008	465_mz3_iin_sirius_511
82	C22H28O3	[M + H]+	C22H28O3	0.9999999999999999	116.28217310945952	115.61853690909388	0.6636362003656497	22	0.5285066087985797	-2.385648048335233	3.6054981400160346	-5.293833225401178		341.20931	571.6940116882324	400_mz3_iin_sirius_441
83	C20H28O2	[M + H]+	C20H28O2	0.9999999999999999	115.31099271613364	115.31099271613364	0.0	35	0.8976919790788699	2.666344085601118	4.114181423819975	2.0856633830428692		301.21683	1055.3059715288691	1063_mz3_iin_sirius_1272
84	C26H52N3O5S	[M + Na]+	C26H52N3O5S	0.9999999999999999	115.23229979994453	115.23229979994453	0.0	42	0.7898401645830038	0.5757309136522921	4.98383487376667	-1.642561124797824		541.35110	971.9789886474609	912_mz3_iin_sirius_1082
85	C29H48O2	[M + H]+	C29H48O2	0.9999999999999999	115.02417515576852	109.32206399179606	5.702111163972468	23	0.6532199270959904	0.6818591515335433	3.747042223080269	0.21453593089934844		429.37280	1271.7161178588867	1457_mz3_iin_sirius_1914
86	C22H30O3	[M + Na]+	C22H30O3	0.9999999999999999	114.87397151114166	114.87397151114166	0.0	27	0.6161154759729583	-0.29531477289757024	4.076533180079803	1.8500828556129636		365.20939	1019.3550109863281	991_mz3_iin_sirius_1179
87	C19H26O2	[M + H]+	C19H26O2	0.9999999999999999	114.8441505080666	114.24765642767714	0.5964940803894668	24	0.5785436091112945	-1.5306480955203485	5.515179539784562	-125419.3751381405		287.20110	551.4099884033203	394_mz3_iin_sirius_435
88	C20H26O	[M + H]+	C20H26O	0.9999999999999999	114.68690113736582	111.59577998550967	3.091121151856156	21	0.6550995243966886	4.6708736710912975	5.39121721834525	-127187.94673821966		283.20634	1021.89697265625	996_mz3_iin_sirius_1184
89	C20H26O4	[M + H]+	C20H26O4	0.9999999999999999	114.67641726460634	110.78097282326038	3.895444441345962	36	0.7896847193232996	-0.8475249614333582	3.013509451306113	-54380.809429216395		331.19054	923.6080169677734	843_mz3_iin_sirius_1006
90	C18H26	[M + H]+	C18H26	0.9999999999999999	114.62965544978834	114.62965544978834	0.0	21	0.6533630147877244	-0.25854444107282726	5.088778433948767	-74051.07825950498		243.21124	774.4330215454102	622_mz3_iin_sirius_696
91	C32H64N2O7S	[M + H]+	C32H64N2O7S	0.9999999999999999	114.49294141301738	114.49294141301738	0.0	34	0.6445277167592715	-3.2870138325717315	5.021856549000855	-1.9921062717545277		621.44946	1412.4540083762258	1691_mz3_iin_sirius_2256
92	C21H34N3O5	[M + H]+	C21H34N3O5	0.9999999999999999	114.47218414209352	111.03175280751039	3.4404313345831374	32	0.6029829545454546	0.7972888687312943	5.185301803287558	4.0100452270210765		409.25876	830.5769920349121	701_mz3_iin_sirius_827
93	C29H46O3	[M + H]+	C29H46O3	0.9999999999999999	114.40030742478359	114.40030742478359	0.0	46	0.8895322987021235	0.8515472291424415	3.15337016955013	0.5973496303534525		443.35224	1174.0419387817383	1238_mz3_iin_sirius_1468
94	C29H46O	[M + H]+	C29H46O	0.9999999999999999	114.37919575260217	111.61522526685422	2.763970485747948	22	0.541452552243919	2.5706137775998372	4.902445109338424	-43780.741927030074		411.36293	1643.8819885253906	1867_mz3_iin_sirius_2463
95	C20H32O	[M + H]+	C20H32O	0.9999999999999999	114.22540058845374	114.22540058845374	0.0	23	0.5539865924975039	4.813558504897883	5.829881044234827	-0.4970798093274251		289.25245	1162.7769470214844	1224_mz3_iin_sirius_1449
95	C20H32O	[M + H]+	C20H32O	0.9999999999999999	114.16837004977386	114.16837004977386	0.0	23	0.5539865924975039	4.813558504897883	5.829881044234827	0.7193221351814568		289.25280	1151.1820220947266	1204_mz3_iin_sirius_1426
96	C29H61N	[M + H]+	C29H61N	0.9999999999999999	113.71312920878238	108.68148903765652	5.031640171125858	48	0.9597585513078468	1.7690722151447669	4.230206667884171	-42427.08394498479		424.48844	962.635177836637	892_mz3_iin_sirius_1058
97	C19H28O3	[M + H]+	C19H28O3	0.9999999999999999	113.61989539838305	113.61989539838305	0.0	23	0.5368895046761343	1.4765339636845156	6.522783775749964	0.6824033261526425		305.21133	697.3210716247559	514_mz3_iin_sirius_566
98	C20H28O3	[M + Na]+	C20H28O3	0.9999999999999999	113.48718657548956	110.01741455684639	3.4697720186431713	24	0.6403276622558287	0.1804596537004917	4.294666981846429	1.9757856795345548		339.19374	869.3406280875206	758_mz3_iin_sirius_903
99	C19H26O3	[M + H]+	C19H26O3	0.9999999999999999	113.09074964177589	109.95055553900258	3.1401941027733136	38	0.8521126760563382	0.4382658318115528	4.054313843249539	-59407.27649515699		303.19410	536.0409736633301	384_mz3_iin_sirius_423
100	C31H48O5	[M + H]+	C31H48O5	0.9999999999999999	112.27658308865878	112.27658308865878	0.0	44	0.8757705751509376	0.9523188185637765	3.161717829610736	1.627179960443177		501.35827	1076.2010192871094	1080_mz3_iin_sirius_1289
101	C32H66O9	[M + Na]+	C32H66O9	0.9999999999999999	111.9205511707841	105.91138700081655	6.009164169967553	37	0.7105446033429649	-0.23157859981823659	4.088119034647079	1.0365484895939523		617.46054	1259.480423006174	1433_mz3_iin_sirius_1871
102	C18H30O2	[M + H]+	C18H30O2	0.9999999999999999	111.65765650091997	108.70767090996833	2.949985590951637	25	0.6753766478342748	2.292931237186487	5.869658441266849	1.698488140145746		279.23233	885.2662727795541	791_mz3_iin_sirius_945
103	C16H31NO2	[M + H]+	C16H31NO2	0.9999999999999999	111.45201030612515	111.45201030612515	0.0	27	0.7008906724087304	2.7542416726314687	5.433872043096385	2.6631168074676532		270.24348	869.220027923584	754_mz3_iin_sirius_899
104	C20H26O4	[M + H]+	C20H26O4	0.9999999999999999	111.04114196658037	111.04114196658037	0.0	36	0.7661594643944004	-1.1648219692975899	3.5498211284113053	-54379.87029511941		331.19084	893.8949775695801	796_mz3_iin_sirius_950
105	C22H20O10	[M - H4O2 + H]+	C22H16O8	0.9999999999999999	110.9861761185471	105.26062862996363	5.725547488583474	35	0.8428226157930182	1.1304965174556245	3.410873205722248	-88050.21822979544		409.09226	260.8262515068054	165_mz3_iin_sirius_188
106	C18H29N2O3S	[M + H]+	C18H29N2O3S	0.9999999999999999	110.88239644767275	110.88239644767275	0.0	40	0.7478748068006184	-2.1176771277478394	6.102979477904847	-4.008648268938673		354.19575	657.0180130004883	471_mz3_iin_sirius_517
107	C28H38	[M + H]+	C28H38	0.9999999999999999	110.86295631244232	110.6072015728033	0.25575473963902073	22	0.6496314496314497	-2.8175425631545847	3.7676274114687867	0.8075790527468569		375.30493	1154.292984008789	1209_mz3_iin_sirius_1431
108	C21H28O2	[M + H]+	C21H28O2	0.9999999999999999	110.74166233709967	110.74166233709967	0.0	31	0.866892665514223	0.12280422011529335	4.85480711440114	-57499.39521556613		313.21698	1092.748031616211	1106_mz3_iin_sirius_1317
